date,followers,following,posts
2019-09-08 15:42:54.423355,9237,103,411
2019-09-09 12:00:35.608458,9243,103,411
2019-09-10 12:00:26.204048,9251,103,411
2019-09-11 12:00:26.768135,9262,103,411
2019-09-12 12:00:28.572843,9283,103,411
2019-09-13 12:00:29.382916,9286,110,413
2019-09-14 12:00:31.070901,9294,113,414
2019-09-15 12:00:30.389050,9302,113,414
2019-09-16 12:00:29.628700,9316,113,414
2019-09-17 12:00:31.045428,9325,113,414
2019-09-18 12:00:28.029672,9331,113,415
2019-09-19 12:00:31.086787,9341,113,416
2019-09-20 12:00:30.810142,9358,113,416
2019-09-21 12:00:29.630021,9368,113,416
2019-09-22 12:00:30.997206,9380,113,416
2019-09-23 12:00:29.665344,9388,113,416
2019-09-24 12:00:31.649550,9402,115,417
2019-09-25 12:00:29.273147,9409,115,417
2019-09-26 12:00:27.457874,9420,115,417
2019-09-27 12:00:29.823262,9430,115,417
2019-09-28 12:00:27.906620,9437,115,418
2019-09-29 12:00:30.103871,9443,115,418
2019-09-30 12:00:28.923610,9454,115,418
2019-10-01 12:00:28.970172,9459,115,418
2019-10-02 12:00:29.147584,9466,115,419
2019-10-03 12:00:29.340789,9473,116,419
2019-10-04 12:00:32.317154,9480,116,420
2019-10-05 12:00:29.411632,9487,116,420
2019-10-06 12:00:31.066331,9494,116,420
2019-10-07 12:00:29.508785,9508,116,420
2019-10-08 12:00:29.009488,9525,116,420
2019-10-09 12:00:33.129839,9540,116,420
2019-10-10 12:00:29.500008,9558,116,420
2019-10-11 12:00:29.274969,9572,116,420
2019-10-12 12:00:30.682909,9578,117,421
2019-10-13 12:00:35.569606,9592,117,421
2019-10-14 12:00:31.221127,9602,117,421
2019-10-15 12:00:31.054675,9613,117,421
2019-10-16 12:00:39.415975,9614,118,421
2019-10-17 12:00:29.042036,9619,118,421
2019-10-18 12:00:30.894594,9632,118,423
2019-10-19 12:00:29.932777,9643,121,423
2019-10-20 12:00:30.531085,9654,121,423
2019-10-21 12:00:30.236724,9667,121,423
2019-10-22 12:00:30.369974,9675,121,424
2019-10-23 12:00:28.536667,9686,121,425
2019-10-24 12:00:30.524571,9704,121,425
2019-10-25 12:00:31.747198,9716,122,425
2019-10-26 12:00:29.174626,9719,122,427
2019-10-27 12:00:31.691154,9722,122,427
2019-10-28 12:00:29.488179,9729,122,427
2019-10-29 12:00:28.861034,9739,122,427
2019-10-30 12:00:31.123724,9752,122,427
2019-10-31 12:00:28.647224,9765,122,428
2019-11-01 12:00:26.397406,9773,122,428
2019-11-02 12:00:25.416457,9778,122,428
2019-11-03 12:00:25.697494,9791,122,428
2019-11-04 12:00:26.273447,9798,122,428
2019-11-05 12:00:26.963677,9807,122,428
2019-11-06 12:00:37.581720,9813,122,429
2019-11-07 12:00:27.512426,9820,122,430
2019-11-08 12:00:26.052993,9830,122,430
2019-11-09 12:00:26.783647,9841,122,430
2019-11-10 12:00:26.467240,9846,122,430
2019-11-11 12:00:27.354903,9849,122,430
2019-11-12 12:00:27.790026,9848,122,430
2019-11-13 12:00:30.442818,9851,122,432
2019-11-14 12:00:48.473389,9861,123,432
2019-11-15 12:00:27.722071,9865,123,432
2019-11-16 12:00:25.642831,9872,123,432
2019-11-17 12:00:25.694511,9879,123,432
2019-11-18 12:00:26.085059,9892,123,432
2019-11-19 12:00:27.997304,9899,123,432
2019-11-20 12:00:25.689876,9902,123,433
2019-11-21 12:00:31.176098,9910,123,433
2019-11-22 12:00:27.450440,9912,123,434
2019-11-23 12:00:23.976256,9919,123,434
2019-11-24 12:00:24.034205,9926,123,434
2019-11-25 12:00:24.269095,9931,123,434
2019-11-26 12:00:23.880891,9929,123,434
2019-11-27 12:00:24.219916,9925,123,435
