date,followers,following,posts
2019-09-08 15:42:36.104485,53200,2046,1040
2019-09-09 12:00:13.001342,53200,2046,1040
2019-09-10 12:00:06.806047,53300,2052,1040
2019-09-11 12:00:06.481200,53300,2054,1041
2019-09-12 12:00:07.513907,53400,2054,1041
2019-09-13 12:00:06.771521,53400,2054,1041
2019-09-14 12:00:07.574452,53400,2056,1042
2019-09-15 12:00:07.836710,53500,2056,1042
2019-09-16 12:00:07.124670,53500,2055,1042
2019-09-17 12:00:07.815830,53500,2055,1043
2019-09-18 12:00:07.246966,53600,2055,1043
2019-09-19 12:00:08.033574,53700,2055,1043
2019-09-20 12:00:06.807603,53700,2056,1043
2019-09-21 12:00:07.508134,53800,2057,1043
2019-09-22 12:00:07.887490,53800,2058,1043
2019-09-23 12:00:06.948181,53900,2058,1043
2019-09-24 12:00:07.839701,53900,2060,1044
2019-09-25 12:00:07.128016,53900,2061,1044
2019-09-26 12:00:06.669693,54000,2063,1044
2019-09-27 12:00:07.814886,54000,2064,1044
2019-09-28 12:00:06.979856,54100,2065,1044
2019-09-29 12:00:07.879009,54100,2066,1044
2019-09-30 12:00:08.110278,54200,2066,1044
2019-10-01 12:00:07.492556,54200,2066,1044
2019-10-02 12:00:07.518237,54200,2065,1044
2019-10-03 12:00:07.818611,54300,2066,1044
2019-10-04 12:00:08.637384,54300,2066,1044
2019-10-05 12:00:07.251142,54300,2064,1044
2019-10-06 12:00:08.577903,54400,2064,1044
2019-10-07 12:00:07.161096,54400,2064,1044
2019-10-08 12:00:07.220244,54400,2062,1044
2019-10-09 12:00:08.117308,54500,2062,1044
2019-10-10 12:00:07.593892,54500,2062,1044
2019-10-11 12:00:07.081846,54500,2062,1046
2019-10-12 12:00:07.995980,54500,2060,1047
2019-10-13 12:00:11.790213,54600,2062,1047
2019-10-14 12:00:08.247634,54600,2060,1047
2019-10-15 12:00:07.760118,54600,2059,1047
2019-10-16 12:00:08.377496,54700,2061,1048
2019-10-17 12:00:07.274732,54700,2061,1048
2019-10-18 12:00:07.551081,54800,2061,1048
2019-10-19 12:00:07.275922,54800,2063,1048
2019-10-20 12:00:07.479634,54900,2063,1048
2019-10-21 12:00:07.725940,54900,2064,1048
2019-10-22 12:00:07.520447,55000,2064,1048
2019-10-23 12:00:07.504152,55000,2064,1049
2019-10-24 12:00:07.460782,55000,2065,1049
2019-10-25 12:00:08.161337,55000,2065,1050
2019-10-26 12:00:07.309111,55000,2065,1050
2019-10-27 12:00:08.356192,55100,2064,1050
2019-10-28 12:00:06.702536,55100,2063,1050
2019-10-29 12:00:07.621848,55200,2064,1050
2019-10-30 12:00:07.928889,55200,2064,1050
2019-10-31 12:00:06.908604,55200,2065,1050
2019-11-01 12:00:07.124579,55200,2065,1051
2019-11-02 12:00:06.518820,55200,2066,1051
2019-11-03 12:00:06.321592,55300,2065,1051
2019-11-04 12:00:06.796491,55300,2066,1051
2019-11-05 12:00:07.324257,55400,2065,1051
2019-11-06 12:00:06.567784,55400,2065,1051
2019-11-07 12:00:06.751066,55400,2067,1051
2019-11-08 12:00:06.724705,55400,2067,1051
2019-11-09 12:00:07.473934,55500,2068,1051
2019-11-10 12:00:07.070514,55500,2068,1051
2019-11-11 12:00:07.598547,55600,2068,1051
2019-11-12 12:00:07.276667,55600,2069,1052
2019-11-13 12:00:07.062026,55600,2069,1052
2019-11-14 12:00:08.645881,55600,2071,1053
2019-11-15 12:00:07.147631,55600,2071,1053
2019-11-16 12:00:06.445995,55700,2071,1053
2019-11-17 12:00:06.524848,55700,2071,1053
2019-11-18 12:00:06.616083,55800,2071,1053
2019-11-19 12:00:07.374087,55800,2071,1053
2019-11-20 12:00:06.442704,55800,2070,1053
2019-11-21 12:00:08.265065,55800,2070,1053
2019-11-22 12:00:07.611667,55800,2070,1053
2019-11-23 12:00:06.569382,55900,2072,1053
2019-11-24 12:00:06.145622,55900,2071,1053
2019-11-25 12:00:06.621240,55900,2071,1053
2019-11-26 12:00:06.087360,56000,2071,1053
2019-11-27 12:00:06.888198,56000,2071,1054
2019-11-28 12:00:06.279920,56000,2071,1055
2019-11-29 12:00:06.504323,56000,2072,1055
2019-11-30 12:00:06.785785,56000,2070,1055
2019-12-01 12:00:06.074540,56000,2070,1055
2019-12-02 12:00:06.468320,56100,2071,1055
2019-12-03 12:00:06.280704,56100,2072,1056
2019-12-04 12:00:08.308877,56100,2070,1056
2019-12-05 12:00:08.409268,56100,2070,1056
2019-12-06 12:00:07.990845,56100,2070,1056
2019-12-07 12:00:07.167256,56100,2073,1057
2019-12-08 12:00:07.220689,56100,2073,1058
2019-12-09 12:00:06.655826,56200,2073,1058
2019-12-10 12:00:06.239893,56200,2073,1058
2019-12-11 12:00:07.011924,56200,2072,1058
2019-12-12 12:00:07.525389,56300,2072,1058
2019-12-13 12:00:06.548433,56100,2072,1058
2019-12-14 12:00:06.300554,56100,2071,1059
2019-12-15 12:00:07.421524,56100,2072,1059
2019-12-16 12:00:07.035970,56200,2072,1059
2019-12-17 12:00:07.020353,56200,2072,1059
2019-12-18 12:00:07.430375,56200,2071,1059
2019-12-19 12:00:07.212484,56300,2073,1059
2019-12-20 12:00:06.965157,56300,2072,1059
2019-12-21 12:00:06.911210,56300,2072,1060
2019-12-22 12:00:07.708145,56300,2072,1060
2019-12-23 12:00:06.852959,56300,2073,1060
2019-12-24 12:00:06.497744,56400,2073,1060
2019-12-25 12:00:07.282785,56400,2073,1060
2019-12-26 12:00:06.877037,56400,2073,1060
2019-12-27 12:00:07.242525,56400,2072,1060
2019-12-28 12:00:06.370174,56500,2070,1060
2019-12-29 12:00:06.908372,56500,2070,1060
2019-12-30 12:00:06.798823,56500,2071,1060
2019-12-31 12:00:06.899943,56600,2071,1060
2020-01-01 12:00:06.947354,56600,2069,1061
2020-01-02 12:00:06.971533,56600,2070,1061
2020-01-03 12:00:07.091345,56600,2069,1061
2020-01-04 12:00:07.505513,56600,2068,1061
2020-01-05 12:00:06.509021,56600,2067,1061
2020-01-06 12:00:10.057176,56700,2065,1061
2020-01-07 12:00:07.583307,56700,2066,1061
2020-01-08 12:00:06.662199,56700,2067,1061
2020-01-09 12:00:07.883208,56800,2067,1061
2020-01-10 12:00:09.182528,56700,2070,1062
2020-01-11 12:00:07.041472,56700,2070,1063
2020-01-12 12:00:07.796439,56800,2069,1063
2020-01-13 12:00:07.010320,56800,2071,1063
2020-01-14 12:00:07.346675,56800,2071,1063
2020-01-15 12:00:07.372121,56900,2070,1063
2020-01-16 12:00:11.341800,56900,2069,1063
2020-01-17 12:00:06.208619,56900,2068,1063
2020-01-18 12:00:06.663845,56900,2074,1064
2020-01-19 12:00:07.370512,57000,2073,1064
2020-01-20 12:00:07.748126,57000,2079,1064
2020-01-21 12:00:07.129493,57000,2079,1064
2020-01-22 12:00:06.715553,57100,2080,1064
2020-01-23 12:00:06.339234,57100,2079,1065
2020-01-24 12:00:07.576482,57100,2078,1065
2020-01-25 12:00:07.447798,57100,2078,1065
2020-01-27 12:00:07.213417,57200,2078,1065
2020-01-28 12:00:07.334773,57200,2078,1065
2020-01-29 12:00:06.656954,57200,2078,1066
2020-01-30 12:00:07.595589,57200,2078,1066
2020-01-31 12:00:06.500890,57300,2077,1066
2020-02-01 12:00:06.498591,57300,2078,1066
2020-02-02 12:00:07.427820,57300,2080,1066
2020-02-03 12:00:07.357011,57400,2081,1066
2020-02-04 12:00:08.613243,57400,2082,1066
2020-02-05 12:00:06.750681,57400,2082,1067
2020-02-06 12:00:07.238894,57400,2082,1067
2020-02-07 12:00:07.568663,57400,2082,1067
2020-02-08 12:00:07.034385,57400,2082,1067
2020-02-09 12:00:08.059123,57400,2082,1067
2020-02-10 12:00:07.527538,57500,2083,1067
2020-02-11 12:00:09.287806,57500,2082,1068
2020-02-12 12:00:08.612821,57500,2080,1068
2020-02-13 12:00:09.203035,57500,2081,1068
2020-02-14 12:00:07.669273,57500,2082,1069
2020-02-15 12:00:07.133067,57500,2082,1069
2020-02-16 12:00:07.516159,57500,2081,1069
2020-02-17 12:00:07.174375,57500,2081,1069
2020-02-18 12:00:07.043080,57500,2080,1069
2020-02-19 12:00:07.752667,57500,2080,1070
2020-02-20 12:00:08.014203,57600,2083,1070
2020-02-21 12:00:08.349534,57600,2084,1070
2020-02-22 12:00:07.465702,57600,2083,1070
2020-02-23 12:00:07.509598,57700,2082,1070
2020-02-24 12:00:07.659425,57700,2083,1070
2020-02-25 12:00:06.710762,57700,2084,1071
2020-02-26 12:00:07.594624,57700,2082,1071
2020-02-27 12:00:07.531884,57700,2082,1071
2020-02-28 12:00:07.710848,57700,2082,1072
2020-02-29 12:00:07.817917,57800,2082,1072
2020-03-01 12:00:07.438978,57800,2082,1072
2020-03-02 12:00:07.244355,57800,2083,1072
