date,followers,following,posts
2019-09-08 15:43:14.216200,6897.0,145.0,1495.0
2019-09-09 12:00:58.767961,6903.0,145.0,1495.0
2019-09-10 12:00:45.514640,6914.0,146.0,1496.0
2019-09-11 12:00:45.905428,6920.0,146.0,1497.0
2019-09-12 12:00:48.193670,6925.0,146.0,1498.0
2019-09-13 12:00:48.582759,6930.0,146.0,1500.0
2019-09-14 12:00:50.954554,6937.0,146.0,1500.0
2019-09-15 12:00:52.535239,6938.0,146.0,1500.0
2019-09-16 12:00:51.005386,6953.0,148.0,1501.0
2019-09-17 12:00:52.012718,6957.0,148.0,1501.0
2019-09-18 12:00:47.839245,6964.0,151.0,1502.0
2019-09-19 12:00:51.822662,6968.0,151.0,1504.0
2019-09-20 12:00:51.011059,6976.0,151.0,1504.0
2019-09-21 12:00:50.693355,6981.0,151.0,1504.0
2019-09-22 12:00:52.468479,6988.0,151.0,1505.0
2019-09-23 12:00:49.755776,6993.0,151.0,1506.0
2019-09-24 12:00:51.628873,6998.0,151.0,1506.0
2019-09-25 12:00:48.312806,7004.0,151.0,1508.0
2019-09-26 12:00:47.102279,7008.0,151.0,1508.0
2019-09-27 12:00:50.635447,7015.0,152.0,1510.0
2019-09-28 12:00:47.009292,7021.0,152.0,1510.0
2019-09-29 12:00:50.719727,7027.0,152.0,1510.0
2019-09-30 12:00:48.534032,7038.0,152.0,1510.0
2019-10-01 12:00:49.158565,7039.0,152.0,1511.0
2019-10-02 12:00:49.200360,7055.0,153.0,1512.0
2019-10-03 12:00:49.444647,7056.0,153.0,1514.0
2019-10-04 12:00:53.441679,7060.0,153.0,1514.0
2019-10-05 12:00:50.981716,7058.0,153.0,1515.0
2019-10-06 12:00:51.977090,7065.0,154.0,1515.0
2019-10-07 12:00:50.804597,7078.0,156.0,1515.0
2019-10-08 12:00:49.130818,7095.0,156.0,1516.0
2019-10-09 12:00:55.528081,7105.0,156.0,1518.0
2019-10-10 12:00:49.938541,7107.0,156.0,1518.0
2019-10-11 12:00:50.439926,7109.0,157.0,1519.0
2019-10-12 12:00:51.652521,7113.0,157.0,1520.0
2019-10-13 12:00:57.035595,7124.0,157.0,1520.0
2019-10-14 12:00:52.115422,7129.0,157.0,1520.0
2019-10-15 12:00:52.558913,7136.0,157.0,1521.0
2019-10-16 12:01:12.600995,7146.0,157.0,1522.0
2019-10-17 12:00:51.192157,7153.0,157.0,1523.0
2019-10-18 12:00:50.910596,7154.0,157.0,1524.0
2019-10-19 12:00:50.685625,7167.0,157.0,1525.0
2019-10-20 12:00:51.849645,7168.0,157.0,1525.0
2019-10-21 12:00:52.253192,7171.0,157.0,1525.0
2019-10-22 12:00:51.405824,7177.0,157.0,1526.0
2019-10-23 12:00:47.918844,7180.0,157.0,1527.0
2019-10-24 12:00:50.682262,7186.0,157.0,1529.0
2019-10-25 12:00:52.062785,7193.0,157.0,1530.0
2019-10-26 12:00:49.650239,7192.0,157.0,1530.0
2019-10-27 12:00:52.875719,7194.0,157.0,1530.0
2019-10-28 12:00:50.098612,7196.0,157.0,1530.0
2019-10-29 12:00:48.667184,7204.0,157.0,1531.0
2019-10-30 12:00:54.308558,7206.0,157.0,1533.0
2019-10-31 12:00:48.770258,7211.0,157.0,1533.0
2019-11-01 12:00:43.875712,7216.0,157.0,1535.0
2019-11-02 12:00:42.805474,7223.0,157.0,1535.0
2019-11-03 12:00:42.538223,7230.0,157.0,1535.0
2019-11-04 12:00:44.281655,7233.0,157.0,1535.0
2019-11-05 12:00:44.860256,7233.0,157.0,1537.0
2019-11-06 12:00:58.368085,7235.0,157.0,1537.0
2019-11-07 12:00:45.968245,7240.0,157.0,1538.0
2019-11-08 12:00:44.675230,7245.0,157.0,1539.0
2019-11-09 12:00:45.889539,7250.0,157.0,1540.0
2019-11-10 12:00:44.351332,7260.0,157.0,1540.0
2019-11-11 12:00:45.928734,7264.0,157.0,1540.0
2019-11-12 12:00:47.356381,7269.0,157.0,1542.0
2019-11-13 12:00:49.100690,7270.0,157.0,1542.0
2019-11-14 12:01:13.359859,7272.0,157.0,1543.0
2019-11-15 12:00:47.653391,7275.0,157.0,1544.0
2019-11-16 12:00:43.316097,7279.0,157.0,1545.0
2019-11-17 12:00:43.777996,7285.0,157.0,1545.0
2019-11-18 12:00:43.380686,7287.0,157.0,1545.0
2019-11-19 12:00:47.867600,,,
2019-11-20 12:00:51.586218,,,
2019-11-21 12:00:54.193480,,,
2019-11-22 12:00:46.981707,,,
2019-11-23 12:00:40.293327,,,
2019-11-24 12:00:40.915798,,,
2019-11-25 12:00:41.308122,,,
2019-11-26 12:00:41.171499,,,
2019-11-27 12:00:41.043362,,,
2019-11-28 12:00:39.781272,,,
2019-11-29 12:00:40.654513,,,
2019-11-30 12:00:41.862709,,,
2019-12-01 12:00:40.928143,,,
2019-12-02 12:00:43.016520,,,
2019-12-03 12:00:40.022068,,,
2019-12-04 12:01:10.536676,,,
2019-12-05 12:00:57.985228,,,
2019-12-06 12:01:08.984481,,,
2019-12-07 12:00:42.635962,,,
2019-12-08 12:00:43.734968,,,
2019-12-09 12:00:44.290652,,,
2019-12-10 12:00:40.760258,,,
2019-12-11 12:00:44.796665,,,
2019-12-12 12:00:46.086104,,,
2019-12-13 12:00:46.586567,,,
2019-12-14 12:00:41.858085,,,
2019-12-15 12:00:45.007419,,,
2019-12-16 12:00:45.470073,,,
2019-12-17 12:00:49.287638,,,
2019-12-18 12:00:47.201632,,,
2019-12-19 12:00:47.286510,,,
2019-12-20 12:00:43.231319,,,
2019-12-21 12:00:42.584833,,,
2019-12-22 12:00:44.526819,,,
2019-12-23 12:00:43.375894,,,
2019-12-24 12:00:42.048083,,,
2019-12-25 12:00:44.997798,,,
2019-12-26 12:00:42.875647,,,
2019-12-27 12:02:44.726176,,,
2019-12-28 12:00:43.718811,,,
2019-12-29 12:00:44.445347,,,
2019-12-30 12:00:44.743145,,,
2019-12-31 12:00:45.624556,,,
2020-01-01 12:00:44.008052,,,
2020-01-02 12:00:45.233305,,,
2020-01-03 12:00:44.858407,,,
2020-01-04 12:00:45.020708,,,
2020-01-05 12:00:43.512775,,,
2020-01-06 12:01:20.283659,,,
2020-01-07 12:00:49.214552,,,
2020-01-08 12:00:45.923591,,,
2020-01-09 12:00:55.169916,,,
2020-01-10 12:01:00.836912,,,
2020-01-11 12:00:45.619401,,,
2020-01-12 12:00:48.116797,,,
2020-01-13 12:00:46.824732,,,
2020-01-14 12:00:47.376975,,,
2020-01-15 12:00:46.364936,,,
2020-01-16 12:01:13.568096,,,
2020-01-17 12:00:45.452048,,,
2020-01-18 12:00:45.120125,,,
2020-01-19 12:00:45.591237,,,
2020-01-20 12:00:46.836906,,,
2020-01-21 12:00:45.539029,,,
2020-01-22 12:00:44.844836,,,
2020-01-23 12:00:45.565288,,,
2020-01-24 12:00:45.136218,,,
2020-01-25 12:00:46.348549,,,
2020-01-27 12:00:49.295522,,,
2020-01-28 12:00:48.995154,,,
2020-01-29 12:00:44.866818,,,
2020-01-30 12:00:46.966532,,,
2020-01-31 12:00:46.461816,,,
2020-02-01 12:00:44.510289,,,
2020-02-02 12:00:44.662682,,,
2020-02-03 12:00:46.452899,,,
2020-02-04 12:00:53.210961,,,
2020-02-05 12:00:45.610882,,,
2020-02-06 12:00:54.981743,,,
2020-02-07 12:00:49.449441,,,
2020-02-08 12:00:46.934154,,,
2020-02-09 12:00:47.234604,,,
2020-02-10 12:00:48.572367,,,
2020-02-11 12:00:53.340142,,,
2020-02-12 12:00:52.066473,,,
2020-02-13 12:00:56.740593,,,
2020-02-14 12:00:54.395970,,,
2020-02-15 12:00:47.550410,,,
2020-02-16 12:00:48.471260,,,
2020-02-17 12:00:47.050199,,,
2020-02-18 12:00:48.019632,,,
2020-02-19 12:00:50.307695,,,
2020-02-20 12:00:49.839287,,,
2020-02-21 12:01:01.074245,,,
2020-02-22 12:00:46.771776,,,
2020-02-23 12:00:48.312377,,,
2020-02-24 12:00:51.641503,,,
2020-02-25 12:00:46.816451,,,
2020-02-26 12:00:50.837743,,,
2020-02-27 12:00:47.258756,,,
2020-02-28 12:00:51.991531,,,
2020-02-29 12:00:45.958099,,,
2020-03-01 12:00:46.523215,,,
2020-03-02 12:00:48.583167,,,
2020-03-03 12:00:47.222778,7846.0,166.0,1615.0
2020-03-04 12:00:47.246310,7855.0,166.0,1616.0
2020-03-05 12:00:47.349801,7858.0,167.0,1617.0
2020-03-06 12:00:48.036461,7865.0,167.0,1618.0
2020-03-07 12:00:50.844512,7867.0,167.0,1619.0
2020-03-09 12:00:46.721907,7883.0,168.0,1619.0
2020-03-10 12:00:47.908881,7891.0,168.0,1620.0
2020-03-11 12:00:50.170536,7893.0,168.0,1622.0
2020-03-12 12:00:47.642956,7900.0,168.0,1622.0
2020-03-13 12:00:49.406624,7909.0,168.0,1622.0
2020-03-14 12:00:47.187446,7914.0,168.0,1622.0
2020-03-15 12:00:49.509569,7913.0,168.0,1622.0
2020-03-16 12:00:55.886193,7917.0,168.0,1622.0
2020-03-17 12:00:53.842819,7923.0,168.0,1622.0
2020-03-18 12:00:50.630841,7929.0,168.0,1623.0
2020-03-19 12:00:50.579108,7931.0,168.0,1623.0
2020-03-20 12:00:52.624268,7941.0,168.0,1625.0
2020-03-21 12:00:50.493335,7937.0,168.0,1625.0
2020-03-22 12:01:08.316809,7944.0,168.0,1625.0
2020-03-23 12:00:48.846563,7940.0,168.0,1626.0
2020-03-24 12:00:52.349017,7937.0,168.0,1628.0
2020-03-25 12:00:55.615906,7967.0,168.0,1629.0
