date,followers,following,posts
2019-09-08 15:43:12.831485,3562,46,520
2019-09-09 12:00:55.653910,3570,46,520
2019-09-10 12:00:44.139269,3569,46,521
2019-09-11 12:00:44.471851,3574,46,522
2019-09-12 12:00:46.591390,3579,46,523
2019-09-13 12:00:47.216459,3583,46,523
2019-09-14 12:00:49.519374,3590,46,524
2019-09-15 12:00:51.058889,3599,46,524
2019-09-16 12:00:49.442550,3603,46,524
2019-09-17 12:00:50.659805,3608,46,525
2019-09-18 12:00:46.476944,3611,46,526
2019-09-19 12:00:50.332172,3620,46,527
2019-09-20 12:00:49.525146,3628,46,528
2019-09-21 12:00:49.205612,3636,46,528
2019-09-22 12:00:50.560718,3642,46,528
2019-09-23 12:00:48.301277,3646,46,528
2019-09-24 12:00:50.371704,3660,46,530
2019-09-25 12:00:46.910757,3665,46,530
2019-09-26 12:00:45.695666,3670,46,531
2019-09-27 12:00:49.202383,3672,46,532
2019-09-28 12:00:45.634830,3677,46,534
2019-09-29 12:00:48.892688,3688,46,534
2019-09-30 12:00:47.098389,3695,46,534
2019-10-01 12:00:47.323098,3705,46,535
2019-10-02 12:00:47.715309,3712,46,535
2019-10-03 12:00:47.988270,3719,46,535
2019-10-04 12:00:51.987439,3722,46,536
2019-10-05 12:00:49.443813,3732,46,537
2019-10-06 12:00:50.478904,3739,46,537
2019-10-07 12:00:49.129179,3745,46,537
2019-10-08 12:00:47.758809,3750,46,538
2019-10-09 12:00:53.781525,3749,46,539
2019-10-10 12:00:48.446108,3755,46,540
2019-10-11 12:00:48.980676,3759,46,542
2019-10-12 12:00:50.152832,3764,46,543
2019-10-13 12:00:55.470207,3780,46,543
2019-10-14 12:00:50.336607,3781,46,543
2019-10-15 12:00:50.894997,3783,46,543
2019-10-16 12:01:10.854614,3795,46,544
2019-10-17 12:00:49.782311,3807,46,544
2019-10-18 12:00:49.468057,3810,46,544
2019-10-19 12:00:49.068401,3816,46,545
2019-10-20 12:00:50.306252,3822,46,545
2019-10-21 12:00:50.743008,3827,46,545
2019-10-22 12:00:49.956701,3836,46,545
2019-10-23 12:00:46.556949,3838,46,545
2019-10-24 12:00:49.207156,3849,46,545
2019-10-25 12:00:50.664804,3850,46,546
2019-10-26 12:00:48.223285,3859,46,547
2019-10-27 12:00:51.376535,3857,46,547
2019-10-28 12:00:48.420471,3859,46,547
2019-10-29 12:00:47.180965,3868,46,547
2019-10-30 12:00:52.536834,3871,46,547
2019-10-31 12:00:47.379503,3870,46,549
2019-11-01 12:00:42.672057,3874,46,550
2019-11-02 12:00:41.578804,3874,46,551
2019-11-03 12:00:41.344652,3880,46,551
2019-11-04 12:00:42.825625,3881,46,551
2019-11-05 12:00:43.538435,3881,46,552
2019-11-06 12:00:56.846564,3887,46,552
2019-11-07 12:00:44.640445,3894,46,552
2019-11-08 12:00:43.313689,3902,46,552
2019-11-09 12:00:44.168701,3900,46,554
2019-11-10 12:00:43.020145,3901,46,554
2019-11-11 12:00:44.580924,3906,46,555
2019-11-12 12:00:45.858889,3912,46,556
2019-11-13 12:00:47.795063,3916,46,556
2019-11-14 12:01:12.142301,3919,46,557
2019-11-15 12:00:46.437901,3925,46,558
2019-11-16 12:00:42.192570,3928,46,559
2019-11-17 12:00:42.367753,3936,46,559
2019-11-18 12:00:42.112355,3947,47,559
2019-11-19 12:00:46.430241,3957,47,561
2019-11-20 12:00:49.973937,3961,47,562
2019-11-21 12:00:52.669736,3966,47,562
2019-11-22 12:00:45.696711,3975,47,563
2019-11-23 12:00:39.067907,3980,47,564
2019-11-24 12:00:39.652369,3986,47,564
2019-11-25 12:00:40.105851,3987,47,566
2019-11-26 12:00:39.655325,3990,47,566
2019-11-27 12:00:39.703452,3987,47,566
2019-11-28 12:00:38.412610,3985,47,566
2019-11-29 12:00:39.314510,3987,47,566
2019-11-30 12:00:40.484366,3989,47,566
2019-12-01 12:00:39.460070,3994,47,566
2019-12-02 12:00:41.519649,3997,47,567
2019-12-03 12:00:38.723003,3999,47,569
2019-12-04 12:01:09.085639,4000,47,570
2019-12-05 12:00:55.987667,4000,47,572
2019-12-06 12:01:06.272457,4008,47,573
2019-12-07 12:00:41.087074,4010,47,575
2019-12-08 12:00:42.505758,4021,47,575
2019-12-09 12:00:42.784181,4022,47,575
2019-12-10 12:00:39.288570,4030,47,576
2019-12-11 12:00:43.379114,4031,47,576
2019-12-12 12:00:44.616006,4034,47,577
2019-12-13 12:00:44.859449,4041,47,578
2019-12-14 12:00:40.497589,4039,47,579
2019-12-15 12:00:43.599266,4045,47,579
2019-12-16 12:00:44.110426,4045,47,581
2019-12-17 12:00:47.918455,4039,47,581
