date,followers,following,posts
2019-09-08 15:43:12.241054,5754,129,634
2019-09-09 12:00:54.898956,5763,129,634
2019-09-10 12:00:43.376514,5768,129,635
2019-09-11 12:00:43.659847,5772,129,636
2019-09-12 12:00:45.920009,5777,129,637
2019-09-13 12:00:46.566411,5782,129,637
2019-09-14 12:00:48.757501,5789,129,637
2019-09-15 12:00:50.235683,5795,129,637
2019-09-16 12:00:48.732965,5801,130,637
2019-09-17 12:00:49.980007,5805,130,637
2019-09-18 12:00:45.864826,5806,131,637
2019-09-19 12:00:49.781467,5819,131,637
2019-09-20 12:00:48.889539,5827,131,637
2019-09-21 12:00:48.227717,5833,131,637
2019-09-22 12:00:49.906881,5841,131,637
2019-09-23 12:00:47.504272,5840,131,637
2019-09-24 12:00:49.649745,5846,131,637
2019-09-25 12:00:46.245883,5853,132,637
2019-09-26 12:00:44.925273,5858,132,637
2019-09-27 12:00:48.483932,5861,132,629
2019-09-28 12:00:44.871766,5863,132,629
2019-09-29 12:00:48.230681,5868,132,629
2019-09-30 12:00:46.324319,5871,132,629
2019-10-01 12:00:46.456378,5876,134,629
2019-10-02 12:00:46.592527,5880,134,629
2019-10-03 12:00:47.050486,5882,135,630
2019-10-04 12:00:51.153149,5886,135,631
2019-10-05 12:00:48.723881,5889,135,631
2019-10-06 12:00:49.675214,5898,135,631
2019-10-07 12:00:48.165153,5904,135,631
2019-10-08 12:00:46.972706,5911,135,631
2019-10-09 12:00:52.984226,5910,135,631
2019-10-10 12:00:47.512334,5921,135,631
2019-10-11 12:00:48.192688,5925,135,632
2019-10-12 12:00:49.518075,5926,135,632
2019-10-13 12:00:54.617201,5935,135,632
2019-10-14 12:00:49.756836,5938,135,632
2019-10-15 12:00:50.108655,5937,135,632
2019-10-16 12:01:09.654119,5944,135,632
2019-10-17 12:00:49.100737,5940,135,633
2019-10-18 12:00:48.748009,5943,135,633
2019-10-19 12:00:48.483588,5946,135,633
2019-10-20 12:00:49.536940,5948,135,633
2019-10-21 12:00:49.933602,5947,135,633
2019-10-22 12:00:49.215733,5947,135,633
2019-10-23 12:00:45.914934,5953,135,633
2019-10-24 12:00:48.468051,5957,135,633
2019-10-25 12:00:50.008336,5962,135,633
2019-10-26 12:00:47.508768,5965,135,633
2019-10-27 12:00:50.629515,5966,135,633
2019-10-28 12:00:47.680260,5965,135,633
2019-10-29 12:00:46.105680,5964,135,633
2019-10-30 12:00:50.104687,5962,135,633
2019-10-31 12:00:46.765247,5965,136,634
2019-11-01 12:00:42.159711,5967,137,635
2019-11-02 12:00:40.953253,5967,137,635
2019-11-03 12:00:40.780815,5971,137,635
2019-11-04 12:00:42.135813,5969,137,635
2019-11-05 12:00:42.961272,5977,137,635
2019-11-06 12:00:55.737401,5979,137,635
2019-11-07 12:00:43.982984,5975,137,636
2019-11-08 12:00:42.675967,5978,137,637
2019-11-09 12:00:43.576786,5983,137,637
2019-11-10 12:00:42.361836,5986,137,637
2019-11-11 12:00:44.040718,5984,137,638
2019-11-12 12:00:45.224839,5991,137,639
2019-11-13 12:00:47.175663,5990,137,639
2019-11-14 12:01:11.548835,5986,137,639
2019-11-15 12:00:45.593343,5991,137,639
2019-11-16 12:00:41.537096,5994,137,640
2019-11-17 12:00:41.665215,5998,137,640
2019-11-18 12:00:41.576147,6000,138,641
2019-11-19 12:00:45.141587,6009,139,641
2019-11-20 12:00:49.414545,6011,139,642
2019-11-21 12:00:51.530382,6015,139,642
2019-11-22 12:00:44.997193,6016,139,643
2019-11-23 12:00:38.451521,6021,139,643
2019-11-24 12:00:38.986494,6022,139,643
2019-11-25 12:00:39.487063,6024,139,643
2019-11-26 12:00:39.078133,6030,139,643
2019-11-27 12:00:39.131190,6030,141,644
2019-11-28 12:00:37.849843,6033,141,644
2019-11-29 12:00:38.725802,6036,141,644
2019-11-30 12:00:39.896927,6040,141,644
2019-12-01 12:00:38.831032,6039,141,644
2019-12-02 12:00:40.931389,6042,141,644
2019-12-03 12:00:38.173917,6039,141,645
2019-12-04 12:01:08.319675,6040,141,645
2019-12-05 12:00:55.141053,6032,141,646
2019-12-06 12:01:02.062815,6035,141,646
2019-12-07 12:00:40.505908,6038,141,647
2019-12-08 12:00:41.826265,6047,141,647
2019-12-09 12:00:42.140042,6046,141,647
2019-12-10 12:00:38.647850,6053,141,647
2019-12-11 12:00:42.761041,6059,141,647
2019-12-12 12:00:44.045958,6061,141,648
2019-12-13 12:00:44.210710,6055,141,649
2019-12-14 12:00:39.937004,6066,141,649
2019-12-15 12:00:42.939665,6074,141,649
2019-12-16 12:00:43.485036,6081,141,649
2019-12-17 12:00:47.177402,6090,141,649
2019-12-18 12:00:45.274289,6095,141,649
2019-12-19 12:00:45.236231,6095,141,649
2019-12-20 12:00:41.335729,6101,141,649
2019-12-21 12:00:40.671476,6094,141,650
2019-12-22 12:00:42.688867,6096,141,650
2019-12-23 12:00:41.526027,6098,141,650
2019-12-24 12:00:40.155364,6097,141,650
2019-12-25 12:00:43.129603,6097,141,650
2019-12-26 12:00:41.104842,6096,141,650
2019-12-27 12:02:42.416546,6099,141,650
2019-12-28 12:00:41.729657,6100,141,650
2019-12-29 12:00:42.308912,6108,141,650
2019-12-30 12:00:42.736066,6111,141,650
2019-12-31 12:00:43.654241,6115,141,650
2020-01-01 12:00:42.085247,6119,141,650
2020-01-02 12:00:43.265751,6113,141,651
2020-01-03 12:00:42.689422,6122,141,651
2020-01-04 12:00:43.042568,6131,141,651
2020-01-05 12:00:41.578228,6134,141,651
2020-01-06 12:01:17.283498,6141,141,651
2020-01-07 12:00:47.029222,6146,141,651
2020-01-08 12:00:43.836940,6152,141,651
2020-01-09 12:00:52.364291,6161,141,651
2020-01-10 12:00:57.953210,6164,141,651
2020-01-11 12:00:43.522503,6165,141,651
2020-01-12 12:00:45.143424,6165,141,651
2020-01-13 12:00:44.973130,6165,141,651
2020-01-14 12:00:45.391173,6167,141,651
2020-01-15 12:00:44.273701,6159,141,652
2020-01-16 12:01:10.386902,6159,141,653
2020-01-17 12:00:43.577501,6162,141,653
2020-01-18 12:00:43.325377,6163,141,653
2020-01-19 12:00:43.704275,6162,141,653
