name,instagram,follower_curr,follower_mean,follower_med,follower_std,follower_min,follower_max,following_curr,following_mean,following_med,following_std,following_min,following_max,posts_curr,posts_mean,posts_med,posts_std,posts_min,posts_max,admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,ownership,region,state,locale_type,locale_size
Amherst College,amherstcollege,17800.0,15857.662337662337,15600.0,959.1390129193453,14200.0,17800.0,650.0,636.251948051948,636.0,12.199573190852256,617.0,655.0,2044.0,1966.0623376623378,1963.0,47.20005362528137,1886.0,2044.0,0.12810000000000002,1449.0,71300.0,78988.0,42053.0,1855.0,42.372459,-72.518493,Amherst,private non-profit,new england,MA,suburb,large
Arizona State University-Tempe,arizonastateuniversity,118900.0,105752.8350515464,104450.0,7242.379382853157,94100.0,118900.0,1523.0,1545.6340206185566,1551.0,11.87423664651999,1523.0,1561.0,1371.0,1276.6030927835052,1266.0,49.653134733464576,1207.0,1371.0,0.8478,1240.0,25621.0,56365.0,35851.0,42529.0,33.417721,-111.934383,Tempe,public,southwest,AZ,city,medium
Boston College,bostoncollege,98600.0,92220.82262210797,92100.0,3247.227737831548,85500.0,98600.0,301.0,267.38817480719797,264.0,16.739082116821507,237.0,301.0,2215.0,2084.0154241645246,2096.0,82.63258492494893,1922.0,2215.0,0.27890000000000004,1429.0,70588.0,132356.0,103007.0,9639.0,42.336213,-71.169242,Chestnut Hill,private non-profit,new england,MA,city,small
Boston University,bostonu,108200.0,91363.8686131387,91500.0,4608.620803625743,82800.0,108200.0,2775.0,2568.832116788321,2546.0,81.95550202835018,2436.0,2777.0,1884.0,1668.2153284671533,1665.0,77.12067266599674,1541.0,1884.0,0.2209,1420.0,70216.0,105821.0,81244.0,17238.0,42.351118,-71.107942,Boston,private non-profit,new england,MA,city,large
Bowdoin College,bowdoincollege,18500.0,16983.629893238434,17100.0,939.6137076877026,15100.0,18500.0,1542.0,1512.4839857651245,1538.0,44.73861299401634,1411.0,1547.0,2436.0,2322.661921708185,2361.0,93.07552391476577,2140.0,2436.0,0.10260000000000001,,68070.0,96476.0,61622.0,1825.0,43.907134,-69.963942,Brunswick,private non-profit,new england,ME,town,large
Brown University,brownu,193000.0,185870.99236641222,187900.0,5583.446130873849,169000.0,193000.0,141.0,120.18575063613231,122.0,12.298315817536281,99.0,141.0,2089.0,1999.1857506361323,2005.0,57.18925438267072,1890.0,2089.0,0.0767,1492.0,71050.0,107609.0,82670.0,6752.0,41.82617,-71.40385,Providence,private non-profit,new england,RI,city,medium
California Institute of Technology,caltechedu,49700.0,44703.73563218391,44000.0,2971.5001420449867,40000.0,49700.0,190.0,236.68112244897958,170.0,191.55459806985488,145.0,779.0,798.0,770.5114942528736,764.0,18.78031298157317,739.0,798.0,0.06620000000000001,1566.0,68901.0,74238.0,44848.0,948.0,34.137349,-118.125878,Pasadena,private non-profit,far west,CA,city,medium
Carleton College,carletoncollege,9404.0,8438.262337662338,8370.0,541.143966961562,7451.0,9404.0,208.0,440.7896103896104,203.0,585.9916140754702,162.0,1827.0,1880.0,1830.1809815950921,1838.0,29.932042110080964,1776.0,1880.0,0.19840000000000002,1453.0,68835.0,98790.0,78779.0,2046.0,44.462318,-93.154666,Northfield,private non-profit,plains,MN,town,medium
Carnegie Mellon University,carnegiemellon,39400.0,31836.808664259926,31600.0,2494.3274069893055,27600.0,39400.0,478.0,601.9097472924187,431.0,557.7550587785394,149.0,1664.0,1746.0,1669.3021148036253,1688.0,55.903157294682856,1563.0,1746.0,0.17120000000000002,1507.0,70060.0,107339.0,91372.0,6483.0,40.44357,-79.941993,Pittsburgh,private non-profit,mid east,PA,city,large
Claremont McKenna College,claremontmckennacollege,6095.0,5093.824046920821,4948.0,548.0134697861939,4108.0,6095.0,824.0,462.17302052785925,428.0,180.89965362524035,234.0,825.0,934.0,855.6015625,858.0,42.038153721463544,770.0,934.0,0.0931,1446.0,71745.0,97309.0,71150.0,1318.0,34.102154,-117.71118799999999,Claremont,private non-profit,far west,CA,suburb,large
Colby College,colbycollege,14600.0,13185.09090909091,13300.0,497.98452445421015,12200.0,14600.0,164.0,157.04,157.0,2.7222789937308094,150.0,164.0,1295.0,1164.6981818181819,1167.0,55.298392589292526,1060.0,1295.0,0.1306,1437.0,68582.0,121521.0,94859.0,2000.0,44.564211,-69.66337,Waterville,private non-profit,new england,ME,town,small
