2019-09-08 15:42:52.264216,76.9k,293,1525
2019-09-09 12:00:32.910849,77k,293,1526
2019-09-10 12:00:23.951772,77.1k,293,1527
2019-09-11 12:00:24.324846,77.2k,293,1529
2019-09-12 12:00:26.084048,77.3k,293,1529
2019-09-13 12:00:26.762326,77.4k,293,1530
2019-09-14 12:00:28.712857,77.5k,293,1530
2019-09-15 12:00:27.764118,77.6k,293,1530
2019-09-16 12:00:27.017153,77.7k,293,1531
2019-09-17 12:00:28.090747,77.8k,293,1532
2019-09-18 12:00:25.522454,77.9k,293,1533
2019-09-19 12:00:28.577605,78k,293,1535
2019-09-20 12:00:28.131441,78.1k,293,1537
2019-09-21 12:00:27.095067,78.1k,294,1537
2019-09-22 12:00:28.175198,78.2k,294,1538
2019-09-23 12:00:27.218665,78.3k,294,1539
2019-09-24 12:00:28.734078,78.3k,294,1540
2019-09-25 12:00:26.871715,78.4k,294,1541
2019-09-26 12:00:25.146332,78.5k,294,1542
2019-09-27 12:00:27.127323,78.5k,294,1542
2019-09-28 12:00:25.585802,78.6k,294,1542
2019-09-29 12:00:27.474349,78.6k,294,1543
2019-09-30 12:00:26.592885,78.6k,294,1544
2019-10-01 12:00:26.490504,78.7k,294,1545
2019-10-02 12:00:26.695501,78.7k,294,1545
2019-10-03 12:00:26.987882,78.8k,294,1546
2019-10-04 12:00:29.648260,78.9k,294,1546
2019-10-05 12:00:26.808428,78.9k,294,1546
2019-10-06 12:00:28.432930,79k,294,1547
2019-10-07 12:00:26.746142,79k,294,1547
2019-10-08 12:00:26.361549,79.1k,294,1549
2019-10-09 12:00:30.204721,79.1k,294,1549
2019-10-10 12:00:27.017676,79.2k,294,1551
2019-10-11 12:00:26.779960,79.7k,294,1553
2019-10-12 12:00:27.911839,79.8k,294,1555
2019-10-13 12:00:32.991710,79.9k,294,1555
2019-10-14 12:00:28.507302,79.9k,294,1555
2019-10-15 12:00:28.511720,80k,295,1556
2019-10-16 12:00:36.292901,80.1k,295,1557
2019-10-17 12:00:26.569804,80.2k,295,1557
2019-10-18 12:00:28.325229,80.2k,295,1559
2019-10-19 12:00:27.329938,80.3k,295,1561
2019-10-20 12:00:27.820263,80.3k,295,1562
2019-10-21 12:00:27.586675,80.4k,295,1562
2019-10-22 12:00:27.724056,80.4k,295,1564
2019-10-23 12:00:25.966787,80.5k,295,1565
2019-10-24 12:00:27.433633,80.6k,295,1566
2019-10-25 12:00:28.980381,80.7k,295,1568
2019-10-26 12:00:26.658558,80.8k,295,1568
2019-10-27 12:00:29.000572,80.8k,295,1569
2019-10-28 12:00:26.309151,80.9k,295,1569
2019-10-29 12:00:26.212042,81k,296,1570
2019-10-30 12:00:28.597179,81k,296,1571
2019-10-31 12:00:26.168032,81.1k,296,1572
2019-11-01 12:00:24.298532,81.2k,296,1572
2019-11-02 12:00:23.196712,81.2k,296,1573
2019-11-03 12:00:23.625124,81.3k,296,1573
2019-11-04 12:00:24.275459,81.4k,296,1575
2019-11-05 12:00:24.609190,81.4k,296,1576
2019-11-06 12:00:35.143254,81.4k,296,1577
2019-11-07 12:00:25.213086,81.5k,296,1578
2019-11-08 12:00:23.768096,81.5k,296,1578
2019-11-09 12:00:24.673899,81.6k,296,1579
2019-11-10 12:00:24.371052,81.7k,296,1580
2019-11-11 12:00:25.166762,81.7k,296,1581
2019-11-12 12:00:25.530616,81.8k,296,1581
2019-11-13 12:00:28.123912,81.9k,296,1584
2019-11-14 12:00:45.373788,82k,296,1584
2019-11-15 12:00:25.576394,82.1k,296,1584
2019-11-16 12:00:23.222074,82.1k,296,1584
2019-11-17 12:00:23.612937,82.2k,296,1584
2019-11-18 12:00:23.973378,82.3k,296,1585
2019-11-19 12:00:25.752653,See,posts,University
2019-11-20 12:00:23.423083,See,posts,University
2019-11-21 12:00:28.658723,See,posts,University
