date,followers,following,posts
2019-09-08 15:42:55.750714,1779,1084,359
2019-09-09 12:00:37.036907,1778,1084,360
2019-09-10 12:00:27.465985,1782,1084,361
2019-09-11 12:00:28.079898,1787,1084,362
2019-09-12 12:00:29.853605,1799,1085,363
2019-09-13 12:00:30.607236,1804,1086,364
2019-09-14 12:00:32.284433,1807,1087,366
2019-09-15 12:00:32.030853,1806,1086,367
2019-09-16 12:00:31.126765,1806,1087,369
2019-09-17 12:00:33.095449,1809,1087,370
2019-09-18 12:00:29.332237,1813,1089,372
2019-09-19 12:00:32.324720,1820,1091,373
2019-09-20 12:00:32.174112,1823,1090,374
2019-09-21 12:00:30.946588,1827,1092,376
2019-09-22 12:00:32.372410,1834,1092,377
2019-09-23 12:00:30.921540,1839,1092,378
2019-09-24 12:00:32.997200,1843,1092,378
2019-09-25 12:00:30.475564,1847,1092,378
2019-09-26 12:00:28.743368,1850,1091,379
2019-09-27 12:00:31.356013,1853,1094,379
2019-09-28 12:00:29.158125,1858,1095,380
2019-09-29 12:00:31.393292,1859,1095,381
2019-09-30 12:00:30.105974,1863,1095,382
2019-10-01 12:00:30.262299,1863,1094,382
2019-10-02 12:00:30.370998,1867,1094,382
2019-10-03 12:00:30.609702,1868,1093,383
2019-10-04 12:00:33.503123,1873,1094,384
2019-10-05 12:00:30.685174,1874,1094,385
2019-10-06 12:00:32.408794,1877,1094,386
2019-10-07 12:00:30.800690,1877,1093,387
2019-10-08 12:00:30.220408,1881,1093,387
2019-10-09 12:00:34.549239,1884,1097,387
2019-10-10 12:00:30.711019,1883,1097,388
2019-10-11 12:00:30.569419,1884,1096,388
2019-10-12 12:00:31.917569,1891,1096,389
2019-10-13 12:00:36.894603,1895,1097,390
2019-10-14 12:00:32.518088,1900,1097,391
2019-10-15 12:00:32.524699,1903,1097,391
2019-10-16 12:00:40.922522,1906,1099,392
2019-10-17 12:00:30.282811,1912,1102,393
2019-10-18 12:00:32.080628,1917,1103,393
2019-10-19 12:00:31.248722,1921,1103,394
2019-10-20 12:00:31.978110,1924,1106,395
2019-10-21 12:00:32.146346,1924,1106,397
2019-10-22 12:00:31.684037,1925,1106,397
2019-10-23 12:00:29.573980,1929,1107,397
2019-10-24 12:00:31.734835,1930,1109,399
2019-10-25 12:00:33.216614,1933,1109,399
2019-10-26 12:00:30.427611,1933,1109,399
2019-10-27 12:00:33.044643,1934,1109,399
2019-10-28 12:00:30.734815,1946,1109,401
2019-10-29 12:00:30.009958,1948,1106,379
2019-10-30 12:00:32.886924,1963,1108,367
2019-10-31 12:00:29.851357,1967,1109,369
2019-11-01 12:00:27.435859,1968,1109,369
2019-11-02 12:00:26.474735,1971,1109,371
2019-11-03 12:00:26.866216,1974,1110,372
2019-11-04 12:00:27.327313,1977,1110,372
2019-11-05 12:00:28.473573,1979,1109,372
2019-11-06 12:00:38.984780,1984,1110,373
2019-11-07 12:00:28.556021,1988,1109,374
2019-11-08 12:00:27.092295,1988,1109,374
2019-11-09 12:00:27.871720,2001,1110,375
2019-11-10 12:00:27.671256,2009,1110,375
2019-11-11 12:00:28.578642,2011,1110,375
2019-11-12 12:00:28.854899,2016,1110,376
2019-11-13 12:00:31.728340,2020,1110,363
2019-11-14 12:00:49.899004,2022,1111,363
2019-11-15 12:00:29.006589,2022,1111,363
2019-11-16 12:00:26.797877,2020,1111,363
2019-11-17 12:00:26.824520,2025,1112,363
2019-11-18 12:00:27.039339,2028,1112,362
2019-11-19 12:00:29.090052,2030,1113,362
2019-11-20 12:00:26.814203,2032,1113,362
2019-11-21 12:00:32.898770,2033,1112,362
2019-11-22 12:00:28.638437,2036,1112,362
2019-11-23 12:00:25.068541,2038,1113,353
2019-11-24 12:00:25.075610,2039,1112,353
