date,followers,following,posts
2019-09-08 15:42:52.264216,76900.0,293.0,1525.0
2019-09-09 12:00:32.910849,77000.0,293.0,1526.0
2019-09-10 12:00:23.951772,77100.0,293.0,1527.0
2019-09-11 12:00:24.324846,77200.0,293.0,1529.0
2019-09-12 12:00:26.084048,77300.0,293.0,1529.0
2019-09-13 12:00:26.762326,77400.0,293.0,1530.0
2019-09-14 12:00:28.712857,77500.0,293.0,1530.0
2019-09-15 12:00:27.764118,77600.0,293.0,1530.0
2019-09-16 12:00:27.017153,77700.0,293.0,1531.0
2019-09-17 12:00:28.090747,77800.0,293.0,1532.0
2019-09-18 12:00:25.522454,77900.0,293.0,1533.0
2019-09-19 12:00:28.577605,78000.0,293.0,1535.0
2019-09-20 12:00:28.131441,78100.0,293.0,1537.0
2019-09-21 12:00:27.095067,78100.0,294.0,1537.0
2019-09-22 12:00:28.175198,78200.0,294.0,1538.0
2019-09-23 12:00:27.218665,78300.0,294.0,1539.0
2019-09-24 12:00:28.734078,78300.0,294.0,1540.0
2019-09-25 12:00:26.871715,78400.0,294.0,1541.0
2019-09-26 12:00:25.146332,78500.0,294.0,1542.0
2019-09-27 12:00:27.127323,78500.0,294.0,1542.0
2019-09-28 12:00:25.585802,78600.0,294.0,1542.0
2019-09-29 12:00:27.474349,78600.0,294.0,1543.0
2019-09-30 12:00:26.592885,78600.0,294.0,1544.0
2019-10-01 12:00:26.490504,78700.0,294.0,1545.0
2019-10-02 12:00:26.695501,78700.0,294.0,1545.0
2019-10-03 12:00:26.987882,78800.0,294.0,1546.0
2019-10-04 12:00:29.648260,78900.0,294.0,1546.0
2019-10-05 12:00:26.808428,78900.0,294.0,1546.0
2019-10-06 12:00:28.432930,79000.0,294.0,1547.0
2019-10-07 12:00:26.746142,79000.0,294.0,1547.0
2019-10-08 12:00:26.361549,79100.0,294.0,1549.0
2019-10-09 12:00:30.204721,79100.0,294.0,1549.0
2019-10-10 12:00:27.017676,79200.0,294.0,1551.0
2019-10-11 12:00:26.779960,79700.0,294.0,1553.0
2019-10-12 12:00:27.911839,79800.0,294.0,1555.0
2019-10-13 12:00:32.991710,79900.0,294.0,1555.0
2019-10-14 12:00:28.507302,79900.0,294.0,1555.0
2019-10-15 12:00:28.511720,80000.0,295.0,1556.0
2019-10-16 12:00:36.292901,80100.0,295.0,1557.0
2019-10-17 12:00:26.569804,80200.0,295.0,1557.0
2019-10-18 12:00:28.325229,80200.0,295.0,1559.0
2019-10-19 12:00:27.329938,80300.0,295.0,1561.0
2019-10-20 12:00:27.820263,80300.0,295.0,1562.0
2019-10-21 12:00:27.586675,80400.0,295.0,1562.0
2019-10-22 12:00:27.724056,80400.0,295.0,1564.0
2019-10-23 12:00:25.966787,80500.0,295.0,1565.0
2019-10-24 12:00:27.433633,80600.0,295.0,1566.0
2019-10-25 12:00:28.980381,80700.0,295.0,1568.0
2019-10-26 12:00:26.658558,80800.0,295.0,1568.0
2019-10-27 12:00:29.000572,80800.0,295.0,1569.0
2019-10-28 12:00:26.309151,80900.0,295.0,1569.0
2019-10-29 12:00:26.212042,81000.0,296.0,1570.0
2019-10-30 12:00:28.597179,81000.0,296.0,1571.0
2019-10-31 12:00:26.168032,81100.0,296.0,1572.0
2019-11-01 12:00:24.298532,81200.0,296.0,1572.0
2019-11-02 12:00:23.196712,81200.0,296.0,1573.0
2019-11-03 12:00:23.625124,81300.0,296.0,1573.0
2019-11-04 12:00:24.275459,81400.0,296.0,1575.0
2019-11-05 12:00:24.609190,81400.0,296.0,1576.0
2019-11-06 12:00:35.143254,81400.0,296.0,1577.0
2019-11-07 12:00:25.213086,81500.0,296.0,1578.0
2019-11-08 12:00:23.768096,81500.0,296.0,1578.0
