date,followers,following,posts
2019-09-08 15:42:36.698364,37900.0,456,1954
2019-09-09 12:00:13.613301,38000.0,456,1954
2019-09-10 12:00:07.357155,38100.0,456,1955
2019-09-11 12:00:07.025386,38100.0,456,1957
2019-09-12 12:00:08.140798,38200.0,456,1958
2019-09-13 12:00:07.381275,38300.0,456,1958
2019-09-14 12:00:08.151866,38400.0,456,1960
2019-09-15 12:00:08.517375,38500.0,456,1963
2019-09-16 12:00:07.713227,38600.0,456,1965
2019-09-17 12:00:08.502635,38700.0,456,1969
2019-09-18 12:00:07.912541,38800.0,456,1971
2019-09-19 12:00:08.682796,38900.0,457,1974
2019-09-20 12:00:07.602326,39000.0,457,1976
2019-09-21 12:00:08.195887,39100.0,457,1980
2019-09-22 12:00:08.520056,39200.0,457,1980
2019-09-23 12:00:07.526863,39300.0,457,1981
2019-09-24 12:00:08.610138,39400.0,456,1982
2019-09-25 12:00:07.724236,39500.0,456,1982
2019-09-26 12:00:07.255768,39700.0,456,1984
2019-09-27 12:00:08.520238,39800.0,456,1984
2019-09-28 12:00:07.587397,40000.0,456,1985
2019-09-29 12:00:08.554529,40100.0,456,1986
2019-09-30 12:00:08.663300,40300.0,456,1987
2019-10-01 12:00:08.121139,40400.0,456,1988
2019-10-02 12:00:08.119727,40600.0,457,1990
2019-10-03 12:00:08.457702,40700.0,456,1991
2019-10-04 12:00:09.334942,40800.0,456,1993
2019-10-05 12:00:07.947422,40900.0,457,1993
2019-10-06 12:00:09.223982,41100.0,457,1994
2019-10-07 12:00:07.822391,41300.0,457,1995
2019-10-08 12:00:07.923877,41400.0,457,1996
2019-10-09 12:00:08.781555,41600.0,458,1998
2019-10-10 12:00:08.274298,41700.0,458,1998
2019-10-11 12:00:07.736949,41900.0,458,1998
2019-10-12 12:00:08.660419,42000.0,458,1998
2019-10-13 12:00:12.617658,42200.0,458,1999
2019-10-14 12:00:08.903123,42300.0,459,2001
2019-10-15 12:00:08.463405,42400.0,459,2003
2019-10-16 12:00:09.218953,42500.0,459,2003
2019-10-17 12:00:07.913852,42700.0,457,2005
2019-10-18 12:00:08.199252,42800.0,457,2006
2019-10-19 12:00:07.852741,42900.0,456,2006
2019-10-20 12:00:08.200359,43100.0,457,2007
2019-10-21 12:00:08.426108,43200.0,457,2008
2019-10-22 12:00:08.185099,43300.0,458,2010
2019-10-23 12:00:08.091364,43400.0,458,2011
2019-10-24 12:00:08.098725,43500.0,458,2011
2019-10-25 12:00:08.802942,43600.0,456,2012
2019-10-26 12:00:07.908579,43700.0,456,2012
2019-10-27 12:00:09.040194,43800.0,456,2013
2019-10-28 12:00:07.365395,43900.0,456,2014
2019-10-29 12:00:08.196113,44000.0,457,2015
2019-10-30 12:00:08.594485,44100.0,458,2016
2019-10-31 12:00:07.500495,44200.0,458,2017
2019-11-01 12:00:07.742684,44200.0,458,2019
2019-11-02 12:00:07.081022,44400.0,458,2020
2019-11-03 12:00:06.859036,44500.0,458,2022
2019-11-04 12:00:07.350095,44600.0,458,2023
2019-11-05 12:00:07.825078,44800.0,458,2024
2019-11-06 12:00:07.211023,45000.0,458,2025
2019-11-07 12:00:07.307858,45100.0,458,2026
2019-11-08 12:00:07.286713,45200.0,458,2028
2019-11-09 12:00:08.141939,45400.0,458,2029
2019-11-10 12:00:07.645466,45600.0,458,2033
2019-11-11 12:00:08.199111,45700.0,458,2036
2019-11-12 12:00:07.986335,45800.0,458,2039
2019-11-13 12:00:10.110748,46000.0,458,2039
2019-11-14 12:00:09.364815,46200.0,458,2040
2019-11-15 12:00:07.694474,46300.0,458,2041
2019-11-16 12:00:06.918773,46400.0,458,2042
2019-11-17 12:00:07.117041,46500.0,458,2044
2019-11-18 12:00:07.249864,46700.0,458,2046
2019-11-19 12:00:07.958020,46800.0,458,2047
2019-11-20 12:00:06.990988,46900.0,458,2048
2019-11-21 12:00:08.962167,47000.0,458,2049
2019-11-22 12:00:08.176087,47100.0,457,2053
2019-11-23 12:00:07.246572,47200.0,457,2056
2019-11-24 12:00:06.783221,47400.0,457,2056
2019-11-25 12:00:07.273754,47500.0,457,2058
2019-11-26 12:00:06.660854,47600.0,457,2058
2019-11-27 12:00:07.388949,47700.0,457,2061
2019-11-28 12:00:06.764422,47800.0,457,2061
2019-11-29 12:00:07.013610,47900.0,457,2062
2019-11-30 12:00:07.304186,48000.0,457,2062
2019-12-01 12:00:06.607387,48100.0,457,2062
2019-12-02 12:00:07.069385,48200.0,457,2064
2019-12-03 12:00:06.852215,48400.0,456,2064
2019-12-04 12:00:09.054726,48500.0,456,2066
2019-12-05 12:00:09.130632,48500.0,456,2066
2019-12-06 12:00:08.749037,48500.0,456,2066
2019-12-07 12:00:07.717154,48600.0,456,2067
2019-12-08 12:00:07.867423,48700.0,455,2067
2019-12-09 12:00:07.221271,48800.0,455,2067
2019-12-10 12:00:06.794849,48900.0,455,2071
2019-12-11 12:00:07.563946,49000.0,455,2073
2019-12-12 12:00:08.247119,49100.0,455,2073
2019-12-13 12:00:07.099316,49300.0,455,2074
2019-12-14 12:00:06.910646,49400.0,455,2075
2019-12-15 12:00:07.959643,49500.0,454,2075
2019-12-16 12:00:07.642517,49600.0,454,2076
2019-12-17 12:00:07.727211,49700.0,454,2076
2019-12-18 12:00:08.107533,49800.0,455,2078
2019-12-19 12:00:07.813195,49900.0,455,2079
2019-12-20 12:00:07.485536,49900.0,455,2080
2019-12-21 12:00:07.525594,50000.0,455,2080
2019-12-22 12:00:08.236436,50100.0,455,2080
2019-12-23 12:00:07.352671,50100.0,455,2080
2019-12-24 12:00:06.984597,50200.0,455,2080
2019-12-25 12:00:07.793219,50200.0,455,2080
2019-12-26 12:00:07.448633,50300.0,455,2080
2019-12-27 12:00:07.709196,50300.0,455,2082
2019-12-28 12:00:06.912865,50400.0,454,2082
2019-12-29 12:00:07.472830,50400.0,454,2083
2019-12-30 12:00:07.424538,50500.0,454,2083
2019-12-31 12:00:07.557366,50600.0,454,2083
